codigoUnidade;nome;endereco;cidade;estado;regiaoAdministrativa;cnpj;telefone;site;linkLogo
265;Fatec de São Roque – Dr. Bernardino de Campos;Rua Marechal Deodoro da Fonseca, 132 - Centro - CEP: 18130-070 - São Roque/SP;São Roque;SP;Sorocaba;62.823.257/0265-90;(11) 4712-3229 / 4712-8418;https://fatecsaoroque.cps.sp.gov.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_sao_roque.zip
189;Fatec São Sebastião – São Sebastião;Rua Ítalo Nascimento, 366 - Porto Grande - CEP: 11600-970 - São Sebastião/SP;São Sebastião;SP;São José dos Campos;62.823.257/0189-03;(12) 3892-3015 / 3892-5767;https://fatecsaosebastiao.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_sao_sebastiao.zip
272;Fatec Sebrae;Alameda Nothman 598 - Campos Elíseos - CEP: 01216-000 - São Paulo/SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0272-10;(11) 3224-1266;https://fatecsebrae.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_sebrae.zip
176;Fatec Sertãozinho – Deputado Waldyr Alceu Trigo;Rua Jordão Borghetti, 480 - Jardim Recreio - Sertãozinho/SP;Sertãozinho;SP;Ribeirão Preto;62.823.257/0176-80;(16) 3942-5806;https://fatecsertaozinho.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_ribeirao_preto_sertaozinho.zip
003;Fatec Sorocaba – José Crespo Gonzales;Av. Eng. Carlos Reinaldo Mendes, 2.015 - Alto da Boa Vista - CEP: 18013-280 - Sorocaba/SP;Sorocaba;SP;Sorocaba;62.823.257/0002-81;(15) 3238-5266 / 3228-2366 / 3228-2370;https://fatecsorocaba.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_sorocaba.zip
296;Fatec Sumaré;Rua Rafael Rossi, 197 Jardim Luiz Cia CEP 13175-270;Sumaré;SP;Campinas;62.823.257/0296-97;(19) 3903-9401;https://fatecsumare.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_sumare.zip
316;Fatec Suzano;Av. Mogi das Cruzes, 1508 - Parque Suzano, Suzano - SP - CEP: 08673-010;Suzano;SP;Metropolitana de São Paulo;62.823.257/0316-75;(11) 99916-5345;https://fatecsuzano.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/09/fatec_ra_metropolitana_sp_suzano.zip
022;Fatec Taquaritinga;Av. Dr. Flávio Henrique Lemos, 585 - Portal Itamaracá - CEP: 15900-000 - Taquaritinga/SP;Taquaritinga;SP;Central;62.823.257/0022-25;(16) 3252-5250 / 3252-5193 / 3252-5152;https://fatectq.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_central_taquaritinga.zip
250;Fatec Tatuapé – Victor Civita;Rua Antônio de Barros, 800 - Tatuapé - 03401-000 - Tatuapé/SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0250-04;(11) 2293-1220 / 2093-9053;https://fatectatuape.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_tatuape.zip
132;Fatec Tatuí – Prof. Wilson Roberto Ribeiro de Camargo;Rodovia Mario Batista Mori, 971 - Jardim Aeroporto - Tatuí/SP;Tatuí;SP;Sorocaba;62.823.257/0132-60;(15) 3205-7780;https://fatectatui.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_tatui.zip
251;Fatec Taubaté;Av. Tomé Portes Del Rei, 525 - Vila São José - CEP: 12070-610 - Taubaté/SP;Taubaté;SP;São José dos Campos;62.823.257/0251-95;(12) 3602-2708 / 3602-2709;https://fatectaubate.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_taubate.zip
301;Fatec Benedicto Pagliato – Votorantim;Av. Juscelino Kubitschek de Oliveira, 279 - Protestantes - CEP: 18110-008 - Votorantim/SP;Votorantim;SP;Sorocaba;62.823.257/0301-99;;https://fatecvotorantim.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2023/02/fatec_ra_sorocaba_votorantim.zip
111;Fatec Zona Leste;Av. Aguia de Haia, 2.983 - Cidade A. E. Carvalho - 03401-000 - São Paulo/SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0111-35;(11) 2040-4100;https://fateczl.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_zona_leste.zip
137;Fatec Zona Sul – Dom Paulo Evaristo Arns;Rua Frederico Grotte, 322 - Jardim São Luiz - CEP: 05818-270 - São Paulo/SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0137-74;(11) 5851-5829 / 5851-8949;http://www.fateczonasul.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_zona_sul.zip
292;Fatec Ferraz de Vasconcelos — Ferraz de Vasconcelos;Rua Carlos de Carvalho, 200 - Jd. São João - CEP: 08545-130 - Ferraz de Vasconcelos/SP;Ferraz de Vasconcelos;SP;Metropolitana de São Paulo;62.823.257/0292-63;(11) 4674-2594;https://fatecferraz.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/11/fatec_ra_metropolitana_sp_ferraz_vasconcelos.zip
