"Cód. da Unidade";"Unidade";"Histórico";"CNPJ";"Região Administrativa";"Município";"Direção";"Direção Administrativo";"Direção Acadêmica";"Telefone";"Aniversário da Cidade";"Endereço";"Site";"Redes Sociais";"Arquivos";"Logotipo";"Cursos"
"                305              ";"Fatec Esportes";"A Fatec foi implantada no 2º semestre de 2023.";"62.823.257/0305-12";"                Metropolitana de São Paulo                         ";"                São Paulo              ";"                Lincoln Nogueira Marcellos                f305dir@cps.sp.gov.br              ";"                Donizete Aparecido Leandro Bezerra                f305adm@cps.sp.gov.br              ";"                Clóvis Lopes Filho                f305acad@cps.sp.gov.br              ";"                (11) 2955-1189 / (11) 2631-6584                Discagem Abreviada: (6) 305              ";"                25/01              ";"Rua Paulo Lorenzani, s/nº - Parque Novo Mundo - 02180-021 - São Paulo - SP";"https://fatecesportes.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecdeesportes                                                                                  Instagram: https://www.instagram.com/fatecdeesportes/                                                                                                                                                                              ";"                                                                                Decreto de Criação: 67.816, de 19/07/2023 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2023/decreto-67816-19.07.2023.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2023/04/fatec_ra_metropolitana_sp_capital_esportes.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisGestão Desportiva e de Lazer                                                                                                      "
"                109              ";"Fatec Franca – Dr. Thomaz Novelino";"A Fatec iniciou suas atividades no 2º semestre de 2008.";"62.823.257/0109-10";"                Franca                         ";"                Franca              ";"                Erica Aparecida Araujo                f109dir@cps.sp.gov.br              ";"                Marisa de Macedo Seixas                f109adm@cps.sp.gov.br              ";"                Fabiana Careta                f109acad@cps.sp.gov.br              ";"                (16) 3702-3204                Discagem Abreviada: (6) 109              ";"                28/11              ";"Rua Irênio Grecco, 4580 - Vila Imperador - CEP: 14405-191 - Franca/SP";"http://fatecfranca.edu.br              ";"                                                  Facebook: https://www.facebook.com/FatecFranca                                                                                  Instagram: https://www.instagram.com/fatecfranca                                                                                  X: https://twitter.com/FatecFranca                                                                                  Linkedin: https://www.linkedin.com/school/fatec-franca/                                                                                  Youtube: https://www.youtube.com/@fatecfrancaoficial                                                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=551637023204                                              ";"                                                                                Decreto de Criação: 39.268, de 23/09/1994 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1994/decreto-39268-23.09.1994.html                                    Lei de Denominação: 13.475, de 30/03/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2009/lei-13475-30.03.2009.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_franca_franca.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasDesenvolvimento de Software MultiplataformaGestão da Produção IndustrialGestão de Recursos Humanos                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                294              ";"Fatec Franco da Rocha – Giuliano Cecchettini";"A Fatec foi implantada no 2º semestre de 2018.";"62.823.257.0294-25";"                Metropolitana de São Paulo                         ";"                Franco da Rocha              ";"                Paulo Helio Kanayama                f294dir@cps.sp.gov.br              ";"                Maurício Mariano Filho                f294adm@cps.sp.gov.br              ";"                Michele Duarte Maciel                f294acad@cps.sp.gov.br              ";"                (11) 4449-2007                Discagem Abreviada: (6) 294              ";"                30/11              ";"Rod. Pref. Luiz Salomão Chamma, 240 entrada principal pela, Rua Nelson Rodrigues, s/n - Pouso Alegre, Franco da Rocha - SP, 07857-050";"https://fatecfrancodarocha.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecfrancodarocha                                                                                  Instagram: https://www.instagram.com/fatecfrancodarocha                                                                                                  Linkedin: https://www.linkedin.com/company/fatec-franco-da-rocha                                                                                  Youtube: https://www.youtube.com/channel/UC27-29XnRg7iFKYb2e9o4_A                                                                                                  Tiktok: https://www.tiktok.com/@fatecfrancodarocha                                                                                              ";"                                                                                Decreto de Criação: 63.294, de 21/03/2018 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2018/decreto-63294-21.03.2018.html                                    Lei de Denominação: 17.167, de 09/10/2019 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2019/lei-17167-09.10.2019.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_franco_da_rocha.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaGestão da Tecnologia da InformaçãoGestão de Energia e Eficiência Energética                                                                                                      "
"                119              ";"Fatec Garça – Deputado Julio Julinho Marcondes de Moura";"A Fatec foi implantada no 1º semestre de 2004.";"62.823.257/0119-92";"                Marília                         ";"                Garça              ";"                Renata Aparecida de Carvalho Paschoal                f119dir@cps.sp.gov.br              ";"                Fernanda Ganzelli Barbosa Martines                f119adm@cps.sp.gov.br              ";"                Ligia Mariusso Zoliani                f119acad@cps.sp.gov.br              ";"                (14) 3471-4723 / 3588-1800                Discagem Abreviada: (6) 119              ";"                05/05              ";"Av. Presidente Vargas, 2.331 - Vila José Ribeiro - CEP: 17404-500 - Garça/SP";"https://fatecgarca.cps.sp.gov.br              ";"                                                  Facebook: https://www.facebook.com/fatecgarca                                                                                  Instagram: https://www.instagram.com/fatecgarca                                                                                  X: https://twitter.com/fatecgarca                                                                                  Linkedin: https://www.linkedin.com/company/cps-fatecgarca                                                                                  Youtube: https://www.youtube.com/channel/UCT1AEkIvDzRKXYa1BOXZXlQ                                                                                                                              ";"                                                                                Decreto de Criação: 48.433, de 07/01/2004 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2004/decreto-48433-07.01.2004.html                                    Lei de Denominação: 15.513 de 16/07/2014 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2014/lei-15513-16.07.2014.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_garca.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasGestão EmpresarialMecatrônica Industrial                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                106              ";"Fatec Guaratinguetá – Prof. João Mod";"A Fatec foi criada em 1994.";"62.823.257/0106-78";"                São José dos Campos                         ";"                Guaratinguetá              ";"                André Ricardo Soares Amarante                f106dir@cps.sp.gov.br              ";"                Vicente Paiva                f106adm@cps.sp.gov.br              ";"                Erica Gomes Molina                f106acad@cps.sp.gov.br              ";"                (12) 3126-2643                Discagem Abreviada: (6) 106              ";"                13/06              ";"Av. Prof. João Rodrigues Alckmin, 1.501 - Jardim Esperança - CEP: 12517-475 - Guaratinguetá/SP";"http://www.fatecguaratingueta.edu.br              ";"                                                  Facebook: https://www.facebook.com/fatecguaratinguetaof                                                                                  Instagram: https://www.instagram.com/fatecguaratingueta                                                                                  X: https://twitter.com/fatecguara                                                                                  Linkedin: https://www.linkedin.com/company/fatec-guaratinguet%C3%A1                                                                                  Youtube: https://www.youtube.com/channel/UCXdfEYBVvA9WiThGM0vP9Jg                                                                                                                              ";"                                                                                Decreto de Criação: 39.267, de 22/09/1994 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1994/decreto-39267-22.09.1994.html                                    Lei de Denominação: 13.583, de 25/08/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2009/lei-13583-25.08.2009.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_guaratingueta.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasDesign de Mídias DigitaisGestão ComercialGestão da Produção IndustrialGestão da Tecnologia da InformaçãoGestão EmpresarialGestão FinanceiraLogística                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                              ";"Fatec Guarujá (início das atividades 1º sem/2027) ";"";"";"                Baixada Santista                         ";"                Guarujá              ";"                                dir@cps.sp.gov.br              ";"                                adm@cps.sp.gov.br              ";"                                acad@cps.sp.gov.br              ";"                                Discagem Abreviada: (6)               ";"                30/06              ";"Avenida Afonso Nunes, 345 - Jardim Boa Esperança - Guarujá/SP - CEP 11471-105 ";"              ";"                                                                                                                                                                              ";"                                                                                 -                                                                                 ";"                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de Sistemas                                                                                                      "
"                167              ";"Fatec Guarulhos";"A Fatec iniciou suas atividades no 2º semestre de 2007.";"62.823.257/0167-90";"                Metropolitana de São Paulo                         ";"                Guarulhos              ";"                José Martino Neto                f167dir@cps.sp.gov.br              ";"                Maria José Andrade Oliveira de Aguilar                f167adm@cps.sp.gov.br              ";"                Kelly Cristina Capana                f167acad@cps.sp.gov.br              ";"                (11) 2475-8800                Discagem Abreviada: (6) 167              ";"                20/11              ";"Rua Cristóbal Cláudio Elilo, 88 – Parque Cecap - CEP: 07190-065- Guarulhos/SP";"https://fatecguarulhos.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/profile.php?id=100063618186979                                                                                  Instagram: https://www.instagram.com/fatec_guarulhos                                                                                  X: https://twitter.com/fatec_guarulhos                                                                                  Linkedin: https://www.linkedin.com/school/fatecgru                                                                                  Youtube: https://www.youtube.com/c/FatecGuarulhossp                                                                                                  Tiktok: https://www.tiktok.com/@fatec_guarulhos                                                                                              ";"                                                                                Decreto de Criação: 52.059, de 15/08/2007 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2007/decreto-52059-15.08.2007.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_guarulhos.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasComércio ExteriorGestão da Produção IndustrialLogísticaLogística Aeroportuária                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                315              ";"Fatec Ilha Solteira";"";"62.823.257/0315-94";"                Araçatuba                         ";"                Araçatuba              ";"                                f315dir@cps.sp.gov.br              ";"                                f315adm@cps.sp.gov.br              ";"                                f315acad@cps.sp.gov.br              ";"                (18) 99697-9278                Discagem Abreviada: (6) 315              ";"                02/12              ";"Avenida Professor José Carlos Rossi, 1370, Bairro Cinturão Verde, Ilha Solteira, SP - CEP: 15385-470 ";"https://fatecilhasolteira.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/share/1DvHWjSpX1/                                                                                  Instagram: https://www.instagram.com/fatecilhasolteira                                                                                                  Linkedin: https://www.linkedin.com/in/fatecilhasolteira-fatec-ilha-solteira-0324a237b                                                                                  Youtube: https://www.youtube.com/@FatecIlhaSolteira                                                                                                  Tiktok: https://www.tiktok.com/@fatecilhasolteira                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=https://wa.me/message/7VZ4YIVYLY5LO1                                              ";"                                                                                Decreto de Criação: 70.431, de 10/03/2026 -                     https://doe.sp.gov.br/executivo/decretos/decreto-n-70431-de-10-de-marco-de-2026                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/09/fatec_ra_aracatuba_ilha_solteira.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software Multiplataforma                                                                                                      "
"                105              ";"Fatec Indaiatuba – Dr. Archimedes Lammoglia";"A Fatec iniciou suas atividades no 1º semestre de 1995.";"62.823.257/0105-97";"                Campinas                         ";"                Indaiatuba              ";"                José Luiz Marques                f105dir@cps.sp.gov.br              ";"                Juliene Gibim Fernandes                f105adm@cps.sp.gov.br              ";"                Miriam Takamoto Ferreira                f105acad@cps.sp.gov.br              ";"                (19) 3885-1922 / 3885-1923                Discagem Abreviada: (6) 105              ";"                09/12              ";"Rua D. Pedro I, 65 - Cidade Nova - CEP: 13334-100 - Indaiatuba/SP";"http://www.fatecid.com.br              ";"                                                  Facebook: https://www.facebook.com/fatecdeindaiatuba                                                                                  Instagram: https://www.instagram.com/fatecindaiatuba/                                                                                  X: https://twitter.com/FatecIndaiatuba                                                                                  Linkedin: https://www.linkedin.com/school/fatec-indaiatuba                                                                                  Youtube: https://www.youtube.com/c/TVDigitalFATECIndaiatuba                                                                                                  Tiktok: https://www.tiktok.com/@fatecindaiatuba                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=5519992691700                                              ";"                                                                                Decreto de Criação: 39.326, de 04/10/1994 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1994/decreto-39326-04.10.1994.html                                    Decreto de Denominação: 61.428, de 13/08/2015 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2015/decreto-61428-13.08.2015.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_indaiatuba.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasComércio ExteriorDesenvolvimento de Software MultiplataformaGestão de ServiçosGestão EmpresarialLogística Aeroportuária                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                204              ";"Fatec Ipiranga – Pastor Enéas Tognini";"A Fatec foi implantada no 1º semestre de 2010.";"62.823.257/0204-79";"                Metropolitana de São Paulo                         ";"                São Paulo              ";"                Fabiana Serralha Miranda de Pádua                f204dir@cps.sp.gov.br              ";"                Adriana Pereira da Rosa                f204adm@cps.sp.gov.br              ";"                Marcos Gonçalves de Araujo                f204acad@cps.sp.gov.br              ";"                (11) 5060-2800                Discagem Abreviada: (6) 204              ";"                25/01              ";"R. Frei João, 59 - Vila Nair - CEP: 04280-130 - Ipiranga/SP";"https://fatecipiranga.cps.sp.gov.br              ";"                                                  Facebook: https://www.facebook.com/fatecIpiranga204                                                                                  Instagram: https://www.instagram.com/fatecipirangaingram                                                                                  X: https://twitter.com/IpirangaFatec                                                                                  Linkedin: https://www.linkedin.com/company/fatec-ipiranga                                                                                  Youtube: https://www.youtube.com/c/FatecIpiranga204                                                                                                  Tiktok: https://www.tiktok.com/@fatecipiranga326                                                                                              ";"                                                                                Decreto de Criação: 53.372, de 02/09/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-53372-02.09.2008.html                                    Decreto de Denominação: 62.407, de 30/12/2016 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2016/decreto-62407-30.12.2016.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_ipiranga.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasBig Data para NegóciosGestão ComercialGestão de EventosGestão de Recursos Humanos                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                131              ";"Fatec Itapetininga – Prof. Antonio Belizandro Barbosa Rezende";"A Fatec foi implantada no 1º semestre de 2006.";"62.823.257/0131-89";"                Sorocaba                         ";"                Itapetininga              ";"                Fábio Albuquerque Entelmann                f131dir@cps.sp.gov.br              ";"                Raphaela Barbosa de Campos                f131adm@cps.sp.gov.br              ";"                Ana Carolina Ferreira Felix                f131acad@cps.sp.gov.br              ";"                (15) 3272-7916 / 3272-1165                Discagem Abreviada: (6) 131              ";"                05/11              ";"Rua Dr. João Vieira de Camargo, 104 - Vila Barth - CEP: 18205-600 - Itapetininga/SP";"https://fatecitapetininga.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/soumaisfatecitapetininga                                                                                  Instagram: https://www.instagram.com/fatecitapetininga                                                                                  X: https://twitter.com/fatecitape                                                                                                  Youtube: https://www.youtube.com/channel/UC3yflWZCVdCsO8OE2_45TqA                                                                                                                              ";"                                                                                Decreto de Criação: 50.574, de 02/03/2006 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2006/decreto-50574-02.03.2006.html                                    Lei de Denominação: 13.672, de 10/09/2009 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2009/lei-13672-10.09.2009.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_itapetininga.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAgronegócioAnálise e Desenvolvimento de SistemasComércio ExteriorGestão AmbientalGestão da Produção Industrial                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                308              ";"Fatec Itapevi";"A Fatec foi implantada no 2º semestre de 2024.";"62.823.257/0308-65";"                Metropolitana de São Paulo                         ";"                Itapevi              ";"                Marcos Maia                f308dir@cps.sp.gov.br              ";"                                f308adm@cps.sp.gov.br              ";"                                f308acad@cps.sp.gov.br              ";"                (11) 4205-8900                Discagem Abreviada: (6) 308              ";"                18/02              ";"Rua Vicentina Camargo Gonçalves Oliveira, 120 - Parque Suburbano - CEP:06663-565 - Itapevi/SP";"https://fatecitapevi.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/profile.php?id=61558218407533                                                                                  Instagram: https://www.instagram.com/fatecitapevi/                                                                                                                                                                              ";"                                                                                Decreto de Criação: 68.766, de 09/08/2024 -                     https://www.doe.sp.gov.br/executivo/decretos/decreto-n-68766-de-9-de-agosto-de-2024-20240809118202502028                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/04/fatec_ra_metropolitana_sp_itapevi.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisGestão da QualidadeGestão Pública                                                                                                      "
"                278              ";"Fatec Itapira – Ogari de Castro Pacheco";"A Etec foi implantada no 2º semestre de 2009.";"62.823.257/0278-05";"                Campinas                         ";"                Itapira              ";"                André Luis Ferrari de Moura Giraldi                f278dir@cps.sp.gov.br              ";"                Josiane Borracini de Carvalho                f278adm@cps.sp.gov.br              ";"                Daniela Bellini Destro Altafini Trani                f278acad@cps.sp.gov.br              ";"                (19) 3843-1996 / (19) 3843-7537 / (19) 3843-8516 /                Discagem Abreviada: (6) 278              ";"                24/10              ";"Rua Tereza Lera Paoletti, 590 - Jardim Bela Vista - Itapira/SP";"https://fatecitapira.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecitapira                                                                                  Instagram: https://www.instagram.com/fatecdeitapira                                                                                                  Linkedin: https://www.linkedin.com/company/fatec-de-itapira                                                                                  Youtube: https://www.youtube.com/@fatecdeitapiraogaridecastr2131                                                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=https://wa.me/551938431996                                              ";"                                                                                Decreto de Criação: 60.358, de 10/04/2014 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2014/decreto-60358-10.04.2014.html                                    Lei de Denominação: 15.500, de 10/07/2014 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2014/lei-15500-10.07.2014.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_itapira.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaGestão da Produção IndustrialGestão Empresarial                                                                                                      "
"                155              ";"Fatec Itaquaquecetuba";"A Fatec foi implantada no 2º semestre de 2006.";"62.823.257/0155-56";"                Metropolitana de São Paulo                         ";"                Itaquaquecetuba              ";"                Sônia Maria Alvarez                f155dir@cps.sp.gov.br              ";"                Francisco de Assis Santos Sobrinho                f155adm@cps.sp.gov.br              ";"                Maria Cristina F. Carvalho Da Costa                f155acad@cps.sp.gov.br              ";"                (11) 4753-3221 / 4732-9800                Discagem Abreviada: (6) 155              ";"                08/09              ";"Av. Itaquaquecetuba, 711 - Vila - Monte Belo - CEP: 08577-210 - Itaquaquecetuba/SP";"https://fatecitaqua.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/fatecitaquaquecetuba                                                                                  Instagram: https://www.instagram.com/fatecitaquaquecetuba/                                                                                                  Linkedin: https://www.linkedin.com/company/fatecitaquaquecetuba-oficial                                                                                  Youtube: https://www.youtube.com/@fatecitaquaquecetuba5247                                                                                                                              ";"                                                                                Decreto de Criação: 51.330, de 05/12/2006 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2006/decreto-51330-05.12.2006.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_itaquaquecetuba.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisGestão ComercialGestão da Tecnologia da InformaçãoGestão de Comércio EletrônicoSecretariado                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                257              ";"Fatec Itaquera – Prof. Miguel Reale";"A Fatec foi implantada no 2º semestre de 2012.";"62.823.257/0257-80";"                Metropolitana de São Paulo                         ";"                São Paulo              ";"                Luís Carlos Barbosa de Oliveira                f257dir@cps.sp.gov.br              ";"                Daniele Cesar de Oliveira                f257adm@cps.sp.gov.br              ";"                Greice dos Santos Lima                f257acad@cps.sp.gov.br              ";"                (11) 2077-9800                Discagem Abreviada: (6) 257              ";"                25/01              ";"Av. Miguel Ignácio Curi, 360 - Vila Carmosina - Itaquera - CEP: 08295-005 - Itaquera/SP";"https://fatecitaquera.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/FatecItaquera                                                                                  Instagram: https://www.instagram.com/fatecitaqueraoficial/                                                                                                                   Youtube: https://www.youtube.com/c/FatecItaqueraCPS                                                                                                                              ";"                                                                                Decreto de Criação: 57.717, de 28/12/2011 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2011/decreto-57717-28.12.2011.html                                    Decreto de Denominação: 59.331, de 01/07/2013 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2013/decreto-59331-01.07.2013.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_itaquera.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAutomação IndustrialDesenvolvimento de Software MultiplataformaFabricação MecânicaManutenção IndustrialMecânica: Processos de SoldagemRefrigeração, Ventilação e Ar Condicionado                                                                                                      "
"                286              ";"Fatec Itatiba – Maria Eunice Amadeo de Almeida";"A Fatec foi implantada no 1º semestre de 2016";"628.232.57/0286-15";"                Campinas                         ";"                Itatiba              ";"                Marina Rodrigues de Aguiar                f286dir@cps.sp.gov.br              ";"                Rhamon Ferreira Rodrigues de Almeida                f286adm@cps.sp.gov.br              ";"                Carlos Alberto Rossetto Junior                f286acad@cps.sp.gov.br              ";"                (11) 4524-3221 / 94742-9484                Discagem Abreviada: (6) 286              ";"                01/11              ";"Rua Daniel Peçanha de Moraes, 220 - Jardim Salessi, Itatiba/SP CEP: 13251-140";"https://fatecdeitatiba.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/marina.santossilva.1272                                                                                  Instagram: https://www.instagram.com/fatecdeitatiba                                                                                  X: https://twitter.com/FatecDe                                                                                  Linkedin: https://www.linkedin.com/company/fatecdeitatiba/                                                                                  Youtube: https://www.youtube.com/channel/UCyaC9z9vrjF8htHMpz7gn1g                                                                                                  Tiktok: https://www.tiktok.com/@fatecdeitatibaoficial                                                                                              ";"                                                                                Decreto de Criação: 61.823, de 02/02/2016 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2016/decreto-61823-02.02.2016.html                                    Decreto de Denominação: 66.181, de 03/11/2021 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2021/decreto-66181-03.11.2021.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_itatiba.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasDesenvolvimento de Software MultiplataformaGestão da Produção IndustrialGestão Empresarial                                                                                                      "
"                178              ";"Fatec Itu – Dom Amaury Castanho";"A Fatec iniciou suas atividades em 2008.";"62.823.257/0178-42";"                Sorocaba                         ";"                Itu              ";"                Diane Andreia de Souza Fiala                f178dir@cps.sp.gov.br              ";"                Rodrigo Barbieri                f178adm@cps.sp.gov.br              ";"                Lucas Godoy Menochelli                f178acad@cps.sp.gov.br              ";"                (11) 4813-9303                Discagem Abreviada: (6) 178              ";"                02/02              ";"Av. Tiradentes, 1.211 - Parque das Indústrias - CEP: 13309-640 - Itu/SP";"https://fatecitu.cps.sp.gov.br/              ";"                                                  Facebook: https://www.facebook.com/FatecItu                                                                                  Instagram: https://www.instagram.com/fatecitu                                                                                  X: https://twitter.com/fatecitu                                                                                  Linkedin: https://www.linkedin.com/company/fatec-itu                                                                                  Youtube: https://www.youtube.com/channel/UCHYr2718x3o4XP6E7TdOSnQ                                                                                                                              ";"                                                                                Decreto de Criação: 52.641, de 21/01/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-52641-21.01.2008.html                                    Lei de Denominação: 13.237, de 01/12/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2008/lei-13237-01.12.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_itu.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasGestão da Tecnologia da InformaçãoGestão de EventosGestão EmpresarialMecatrônica Industrial                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
"                173              ";"Fatec Jaboticabal – Nilo de Stéfani";"A Fatec foi implantada no 1º semestre de 2008.";"62.823.257/0173-38";"                Ribeirão Preto                         ";"                Jaboticabal              ";"                João Roberto da Silva                f173dir@cps.sp.gov.br              ";"                Sandra Stefaneli                f173adm@cps.sp.gov.br              ";"                Simone Roberta Scattolin Tilelli                f173acad@cps.sp.gov.br              ";"                (16) 3202-7327 / 3202-6519                Discagem Abreviada: (6) 173              ";"                16/07              ";"Av. Eduardo Zambianchi, 31 - Vila Industrial - CEP: 14883-130 - Jaboticabal/SP";"https://www.fatecjaboticabal.edu.br/              ";"                                                  Facebook: https://www.facebook.com/fatecjaboticabal                                                                                  Instagram: https://www.instagram.com/fatecjaboticabal                                                                                  X: https://twitter.com/Fatecjab                                                                                                  Youtube: https://www.youtube.com/channel/UCv_kiksztrY_mHrA4-F23aQ?view_as=subscriber                                                                                                  Tiktok: https://www.tiktok.com/@fatec.jaboticabal                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=5516994013617                                              ";"                                                                                Decreto de Criação: 52.642, de 21/01/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-52642-21.01.2008.html                                    Lei de Denominação: 14.929, de 09/01/2013 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2013/lei-14929-09.01.2013.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_ribeirao_preto_jaboticabal.zip                            ";"                                                                              Cursos Superiores de Tecnologia PresenciaisBiocombustíveisGestão AmbientalMarketing                                                          Cursos Superiores de Tecnologia EaDGestão Empresarial                                            "
